================================================================
ALPHA TERMINAL — ALL PICKS  |  2026-03-13
================================================================
Games: 8  |  Prop lines scored: 232
NOTE: AST legs marked [!] — model hit rate 41% (below random), bet at own risk
================================================================

MONEYLINES
──────────────────────────────────────────────────────────────
  Team                            Model%  Side   ML Odds  vs
──────────────────────────────────────────────────────────────
  Grayson Allen              reb     2.5    2.8   52.1%  LOW     -123   Suns @ Raptors
  Cedric Coward              pts    11.5   12.3   51.9%  LOW     -102   Grizzlies @ Pistons
  Donte DiVincenzo           reb     3.5    3.6   51.6%  LOW     -110   Timberwolves @ Warriors
  Brook Lopez                pts    10.5   11.4   51.6%  LOW     -102   Bulls @ Clippers
  Max Christie               reb     2.5    2.8   51.0%  LOW     -132   Cavaliers @ Mavericks
  Jrue Holiday               reb     3.5    3.8   50.8%  LOW     -155   Jazz @ Blazers
  Ty Jerome                  reb     2.5    2.9   50.7%  LOW     -115   Grizzlies @ Pistons
  Scoot Henderson            reb     2.5    2.7   50.7%  LOW     -108   Jazz @ Blazers
  Julius Randle              reb     6.5    6.5   50.6%  LOW     -132   Timberwolves @ Warriors
  Cooper Flagg               reb     6.5    6.8   50.5%  LOW     -116   Cavaliers @ Mavericks
  Draymond Green             reb     4.5    4.7   50.3%  LOW     -154   Timberwolves @ Warriors
  Trey Murphy III            pts    20.5   21.3   49.8%  LOW     -102   Pelicans @ Rockets
  Mikal Bridges              reb     3.5    3.7   49.6%  LOW     -159   Knicks @ Pacers
  Olivier-Maxence Prosper    reb     4.5    4.7   49.6%  LOW     -114   Grizzlies @ Pistons
  Cody Williams              pts     8.5    8.7   49.5%  LOW     -119   Jazz @ Blazers
  Sam Merrill                reb     2.5    2.5   49.4%  LOW     -154   Cavaliers @ Mavericks
  Trey Murphy III            reb     4.5    4.7   49.3%  LOW     -120   Pelicans @ Rockets
  Karl-Anthony Towns         pts    20.5   20.8   48.6%  LOW     -105   Knicks @ Pacers
  Deni Avdija                reb     6.5    6.4   48.6%  LOW     +111   Jazz @ Blazers
  Naz Reid                   pts    11.5   12.1   48.5%  LOW     -121   Timberwolves @ Warriors
  Ayo Dosunmu                ast[!]  2.5    2.6   48.4%  LOW     +100   Timberwolves @ Warriors
  Al Horford                 pts    10.5   10.9   48.3%  LOW     -116   Timberwolves @ Warriors
  Tobias Harris              reb     4.5    4.8   48.3%  LOW     -152   Grizzlies @ Pistons
  Devin Booker               pts    26.5   26.6   48.1%  LOW     +100   Suns @ Raptors
  Josh Hart                  reb     7.5    7.4   47.9%  LOW     +114   Knicks @ Pacers
  Naz Reid                   reb     5.5    5.4   47.6%  LOW     -132   Timberwolves @ Warriors
  Collin Gillespie           ast[!]  4.5    4.5   47.5%  LOW     -125   Suns @ Raptors
  Ace Bailey                 ast[!]  1.5    1.6   47.4%  LOW     -126   Jazz @ Blazers
  Deni Avdija                ast[!]  6.5    6.5   47.4%  LOW     +112   Jazz @ Blazers
  De'Anthony Melton          reb     3.5    3.4   47.4%  LOW     +112   Timberwolves @ Warriors
  Dejounte Murray            reb     5.5    5.3   47.4%  LOW     +128   Pelicans @ Rockets
  Kyle Filipowski            ast[!]  3.5    3.5   47.1%  LOW     +128   Jazz @ Blazers
  De'Anthony Melton          pts    15.5   15.8   46.9%  LOW     -112   Timberwolves @ Warriors
  Jalen Green                reb     3.5    3.4   46.8%  LOW     -127   Suns @ Raptors
  Trey Murphy III            ast[!]  3.5    3.5   46.8%  LOW     +100   Pelicans @ Rockets
  Jarace Walker              reb     5.5    5.7   46.8%  LOW     -116   Knicks @ Pacers
  Olivier-Maxence Prosper    pts    10.5   10.9   46.7%  LOW     +104   Grizzlies @ Pistons
  Pascal Siakam              ast[!]  3.5    3.5   46.1%  LOW     -123   Knicks @ Pacers
  Pascal Siakam              reb     5.5    5.5   46.0%  LOW     -130   Knicks @ Pacers
  Saddiq Bey                 pts    17.5   17.8   46.0%  LOW     -126   Pelicans @ Rockets
  Jrue Holiday               ast[!]  5.5    5.4   45.9%  LOW     -138   Jazz @ Blazers
  Royce O'Neale              reb     4.5    4.5   45.8%  LOW     +118   Suns @ Raptors
  Draymond Green             ast[!]  5.5    5.4   45.7%  LOW     -120   Timberwolves @ Warriors
  Oso Ighodaro               ast[!]  2.5    2.5   45.6%  LOW     +115   Suns @ Raptors
  Al Horford                 reb     5.5    5.4   45.4%  LOW     -130   Timberwolves @ Warriors
  Oso Ighodaro               reb     5.5    5.6   45.4%  LOW     -137   Suns @ Raptors
  Jalen Brunson              reb     3.5    3.5   45.2%  LOW     -113   Knicks @ Pacers
  Kobe Sanders               reb     2.5    2.5   45.1%  LOW     -169   Bulls @ Clippers
  Zion Williamson            reb     5.5    5.5   45.1%  LOW     -109   Pelicans @ Rockets
  Matas Buzelis              reb     5.5    5.3   45.1%  LOW     +117   Bulls @ Clippers
  Al Horford                 ast[!]  3.5    3.4   44.9%  LOW     +128   Timberwolves @ Warriors
  Josh Hart                  pts    11.5   11.5   44.8%  LOW     -102   Knicks @ Pacers
  Cooper Flagg               ast[!]  4.5    4.4   44.5%  LOW     +114   Cavaliers @ Mavericks
  Ace Bailey                 reb     4.5    4.5   44.4%  LOW     -123   Jazz @ Blazers
  De'Anthony Melton          ast[!]  2.5    2.4   44.0%  LOW     +129   Timberwolves @ Warriors
  Brandin Podziemski         pts    15.5   15.1   44.0%  LOW     -110   Timberwolves @ Warriors
  Kawhi Leonard              ast[!]  4.5    4.3   43.8%  LOW     +109   Bulls @ Clippers
  Brandin Podziemski         ast[!]  4.5    4.3   43.7%  LOW     -125   Timberwolves @ Warriors
  Donovan Clingan            pts    12.5   12.3   43.6%  LOW     -101   Jazz @ Blazers
  Jalen Green                ast[!]  2.5    2.4   43.6%  LOW     -120   Suns @ Raptors
  Brandin Podziemski         reb     6.5    6.4   43.5%  LOW     +124   Timberwolves @ Warriors
  Immanuel Quickley          reb     3.5    3.5   43.3%  LOW     -135   Suns @ Raptors
  Zion Williamson            pts    20.5   19.9   43.0%  LOW     +102   Pelicans @ Rockets
  Kevin Huerter              pts     9.5    9.2   43.0%  LOW     +102   Grizzlies @ Pistons
  Reed Sheppard              ast[!]  3.5    3.3   42.8%  LOW     -156   Pelicans @ Rockets
  Will Richard               reb     3.5    3.4   42.8%  LOW     +122   Timberwolves @ Warriors
  Matas Buzelis              ast[!]  2.5    2.4   42.8%  LOW     +146   Bulls @ Clippers
  Duncan Robinson            pts    10.5   10.4   42.7%  LOW     -102   Grizzlies @ Pistons
  Kawhi Leonard              pts    29.5   28.6   42.5%  LOW     -112   Bulls @ Clippers
  Gui Santos                 pts    15.5   14.9   42.3%  LOW     -102   Timberwolves @ Warriors
  Sandro Mamukelashvili      reb     4.5    4.3   42.1%  LOW     -111   Suns @ Raptors
  James Harden               pts    21.5   20.7   42.0%  LOW     -106   Cavaliers @ Mavericks
  Saddiq Bey                 reb     5.5    5.3   41.8%  LOW     +118   Pelicans @ Rockets
  Josh Giddey                reb     7.5    7.2   41.8%  LOW     +107   Bulls @ Clippers
  Jrue Holiday               pts    17.5   16.9   41.5%  LOW     +100   Jazz @ Blazers
  Jerami Grant               reb     3.5    3.3   40.8%  LOW     +107   Jazz @ Blazers
  Tobias Harris              pts    11.5   11.0   40.8%  LOW     -110   Grizzlies @ Pistons
  Jaylon Tyson               reb     4.5    4.3   40.7%  LOW     -106   Cavaliers @ Mavericks
  Jalen Duren                reb    10.5    9.9   40.7%  LOW     -122   Grizzlies @ Pistons
  Jarace Walker              pts    13.5   12.8   40.7%  LOW     -108   Knicks @ Pacers
  Scoot Henderson            ast[!]  4.5    4.2   40.7%  LOW     +111   Jazz @ Blazers
  Collin Gillespie           pts    12.5   12.0   40.6%  LOW     -108   Suns @ Raptors
  Josh Hart                  ast[!]  4.5    4.2   40.2%  LOW     -109   Knicks @ Pacers
  Bennedict Mathurin         reb     5.5    5.1   39.7%  LOW     -103   Bulls @ Clippers
  Cooper Flagg               pts    19.5   18.5   39.7%  LOW     -105   Cavaliers @ Mavericks
